No,窗口开始 (ET),结果,开盘价 ($),结算价 ($),成交量 ($)
199,04-11 21:35:00,Down,71918.92,71865.73,68200.57
200,04-11 21:40:00,Up,71865.73,71914.42,83044.77
201,04-11 21:45:00,Down,71914.42,71846.24,90297.52
202,04-11 21:50:00,Down,71846.24,71814.07,135480.27
203,04-11 21:55:00,Down,71814.07,71789.37,96093.72
204,04-11 22:00:00,Up,71789.37,71858.87,89135.26
205,04-11 22:05:00,Down,71858.87,71761.83,90956.12
206,04-11 22:10:00,Up,71761.83,71791.59,128422.90
207,04-11 22:15:00,Down,71791.59,71703.18,80709.08
208,04-11 22:20:00,Down,71703.18,71655.25,93305.65
209,04-11 22:25:00,Up,71655.25,71751.98,92204.19
210,04-11 22:30:00,Down,71751.98,71684.18,111785.18
211,04-11 22:35:00,Up,71684.18,71690.65,102483.06
212,04-11 22:40:00,Up,71690.65,71694.70,61554.86
213,04-11 22:45:00,Down,71694.70,71676.37,97907.66
214,04-11 22:50:00,Up,71676.37,71678.50,85993.50
215,04-11 22:55:00,Down,71678.50,71620.66,97245.75
216,04-11 23:00:00,Up,71620.66,71662.13,109907.00
217,04-11 23:05:00,Down,71662.13,71599.84,124137.56
218,04-11 23:10:00,Up,71599.84,71614.38,151858.07
219,04-11 23:15:00,Down,71614.38,71547.13,112892.54
220,04-11 23:20:00,Up,71547.13,71555.95,100626.03
221,04-11 23:25:00,Down,71555.95,71540.12,138721.30
222,04-11 23:30:00,Up,71540.12,71581.42,117499.49
223,04-11 23:35:00,Down,71581.42,71579.40,80147.42
224,04-11 23:40:00,Up,71579.40,71586.85,135799.82
225,04-11 23:45:00,Down,71586.85,71586.83,170236.27
226,04-11 23:50:00,Down,71586.83,71509.23,135403.12
227,04-11 23:55:00,Down,71509.23,71491.16,90384.95
228,04-12 00:00:00,Up,71491.16,71522.19,106378.48
229,04-12 00:05:00,Up,71522.19,71581.15,113874.94
230,04-12 00:10:00,Down,71581.15,71533.81,96669.44
231,04-12 00:15:00,Up,71533.81,71545.45,142873.52
232,04-12 00:20:00,Up,71545.45,71672.92,147311.67
233,04-12 00:25:00,Up,71672.92,71694.00,92672.41
234,04-12 00:30:00,Down,71694.00,71677.39,224375.11
235,04-12 00:35:00,Up,71677.39,71685.21,125791.00
236,04-12 00:40:00,Down,71685.21,71674.09,57340.87
237,04-12 00:45:00,Up,71674.09,71766.10,115056.17
238,04-12 00:50:00,Down,71766.10,71724.06,130747.17
239,04-12 00:55:00,Up,71724.06,71727.71,85798.13
240,04-12 01:00:00,Up,71727.71,71736.27,85068.82
241,04-12 01:05:00,Down,71736.27,71728.02,109264.34
242,04-12 01:10:00,Up,71728.02,71764.50,90558.79
243,04-12 01:15:00,Down,71764.50,71715.75,98132.28
244,04-12 01:20:00,Up,71715.75,71727.88,92862.78
245,04-12 01:25:00,Up,71727.88,71731.44,133239.90
246,04-12 01:30:00,Down,71731.44,71680.52,52475.55
247,04-12 01:35:00,Up,71680.52,71681.84,68039.89
248,04-12 01:40:00,Down,71681.84,71680.91,51122.84
249,04-12 01:45:00,Up,71680.91,71681.00,84911.09
250,04-12 01:50:00,Up,71681.00,71685.14,109847.19
251,04-12 01:55:00,Down,71685.14,71683.64,102640.74
252,04-12 02:00:00,Down,71683.64,71626.35,92014.58
253,04-12 02:05:00,Up,71626.35,71658.08,100703.49
254,04-12 02:10:00,Down,71658.08,71652.33,111177.93
255,04-12 02:15:00,Up,71652.33,71655.49,105142.73
256,04-12 02:20:00,Down,71655.49,71642.54,93666.65
257,04-12 02:25:00,Up,71642.54,71654.39,87744.38
258,04-12 02:30:00,Up,71654.39,71668.31,75246.52
259,04-12 02:35:00,Up,71668.31,71740.93,151762.59
260,04-12 02:40:00,Up,71740.93,71765.61,105113.68
261,04-12 02:45:00,Down,71765.61,71721.47,89720.43
262,04-12 02:50:00,Up,71721.47,71758.51,67628.90
263,04-12 02:55:00,Down,71758.51,71696.74,93622.22
264,04-12 03:00:00,Down,71696.74,71682.77,194179.83
265,04-12 03:05:00,Up,71682.77,71685.47,206057.41
266,04-12 03:10:00,Down,71685.47,71673.97,81200.44
267,04-12 03:15:00,Down,71673.97,71662.99,178468.73
268,04-12 03:20:00,Up,71662.99,71725.37,62904.15
269,04-12 03:25:00,Down,71725.37,71724.60,62721.74
270,04-12 03:30:00,Down,71724.60,71718.31,63730.89
271,04-12 03:35:00,Up,71718.31,71765.92,79127.92
272,04-12 03:40:00,Down,71765.92,71765.80,117425.28
273,04-12 03:45:00,Down,71765.80,71644.46,73892.86
274,04-12 03:50:00,Down,71644.46,71632.86,63445.17
275,04-12 03:55:00,Up,71632.86,71654.62,62136.05
276,04-12 04:00:00,Down,71654.62,71592.89,70016.00
277,04-12 04:05:00,Up,71592.89,71595.01,72302.61
278,04-12 04:10:00,Up,71595.01,71615.84,58403.50
279,04-12 04:15:00,Up,71615.84,71625.64,57446.67
280,04-12 04:20:00,Up,71625.64,71637.68,66969.65
281,04-12 04:25:00,Down,71637.68,71620.48,99444.29
282,04-12 04:30:00,Up,71620.48,71646.77,52260.69
283,04-12 04:35:00,Up,71646.77,71647.48,162606.45
284,04-12 04:40:00,Down,71647.48,71601.67,58260.75
285,04-12 04:45:00,Down,71601.67,71552.29,69334.68
286,04-12 04:50:00,Up,71552.29,71569.57,58882.84
287,04-12 04:55:00,Down,71569.57,71560.68,74689.01
288,04-12 05:00:00,Down,71560.68,71558.27,67954.79
289,04-12 05:05:00,Up,71558.27,71708.06,59350.96
290,04-12 05:10:00,Down,71708.06,71652.71,52720.11
291,04-12 05:15:00,Up,71652.71,71669.31,48523.63
292,04-12 05:20:00,Up,71669.31,71674.49,51972.63
293,04-12 05:25:00,Down,71674.49,71634.57,61073.49
294,04-12 05:30:00,Down,71634.57,71616.18,59028.76
295,04-12 05:35:00,Down,71616.18,71561.07,62302.10
296,04-12 05:40:00,Down,71561.07,71547.37,68041.01
297,04-12 05:45:00,Down,71547.37,71521.26,83915.99
298,04-12 05:50:00,Down,71521.26,71409.91,112433.92
299,04-12 05:55:00,Up,71409.91,71478.75,107628.54
300,04-12 06:00:00,Down,71478.75,71469.54,109377.71
301,04-12 06:05:00,Down,71469.54,71461.60,85022.90
302,04-12 06:10:00,Up,71461.60,71538.57,83689.52
303,04-12 06:15:00,Up,71538.57,71539.98,85963.71
304,04-12 06:20:00,Down,71539.98,71508.39,106907.28
305,04-12 06:25:00,Up,71508.39,71543.37,62651.34
306,04-12 06:30:00,Down,71543.37,71444.65,74551.62
307,04-12 06:35:00,Up,71444.65,71463.79,69980.94
308,04-12 06:40:00,Up,71463.79,71473.55,57249.21
309,04-12 06:45:00,Down,71473.55,71469.98,84095.01
310,04-12 06:50:00,Up,71469.98,71500.12,41865.19
311,04-12 06:55:00,Down,71500.12,71493.33,67342.21
312,04-12 07:00:00,Down,71493.33,71420.25,70761.79
313,04-12 07:05:00,Down,71420.25,71397.57,77564.57
314,04-12 07:10:00,Up,71397.57,71427.87,95983.71
315,04-12 07:15:00,Up,71427.87,71459.49,79594.16
316,04-12 07:20:00,Down,71459.49,71446.48,69024.50
317,04-12 07:25:00,Down,71446.48,71435.60,57478.03
318,04-12 07:30:00,Down,71435.60,71387.40,88433.89
319,04-12 07:35:00,Up,71387.40,71505.99,51749.05
320,04-12 07:40:00,Up,71505.99,71513.51,80231.33
321,04-12 07:45:00,Down,71513.51,71447.95,49357.63
322,04-12 07:50:00,Down,71447.95,71174.34,128042.37
323,04-12 07:55:00,Down,71174.34,71115.08,137338.05
324,04-12 08:00:00,Down,71115.08,71045.22,245312.89
325,04-12 08:05:00,Up,71045.22,71150.08,100383.57
326,04-12 08:10:00,Down,71150.08,71014.32,75370.58
327,04-12 08:15:00,Up,71014.32,71080.13,81599.99
328,04-12 08:20:00,Up,71080.13,71128.71,70816.03
329,04-12 08:25:00,Down,71128.71,71079.03,85717.20
330,04-12 08:30:00,Up,71079.03,71095.49,118630.12
331,04-12 08:35:00,Down,71095.49,70996.11,84132.40
332,04-12 08:40:00,Up,70996.11,71008.80,88638.67
333,04-12 08:45:00,Up,71008.80,71013.42,104652.72
334,04-12 08:50:00,Down,71013.42,70933.77,106638.63
335,04-12 08:55:00,Down,70933.77,70917.37,90855.07
336,04-12 09:00:00,Up,70917.37,70963.55,86532.47
337,04-12 09:05:00,Up,70963.55,71020.74,75942.02
338,04-12 09:10:00,Down,71020.74,71012.70,84712.08
339,04-12 09:15:00,Up,71012.70,71054.86,75729.19
340,04-12 09:20:00,Up,71054.86,71099.16,109948.64
341,04-12 09:25:00,Up,71099.16,71103.78,98617.74
342,04-12 09:30:00,Down,71103.78,71065.48,110949.64
343,04-12 09:35:00,Down,71065.48,70940.81,73470.50
344,04-12 09:40:00,Down,70940.81,70875.12,156327.60
345,04-12 09:45:00,Down,70875.12,70792.05,103118.40
346,04-12 09:50:00,Down,70792.05,70744.87,100981.78
347,04-12 09:55:00,Up,70744.87,70769.80,106054.54
348,04-12 10:00:00,Up,70769.80,70815.77,86432.50
349,04-12 10:05:00,Down,70815.77,70789.63,73176.81
350,04-12 10:10:00,Up,70789.63,70857.47,78180.87
351,04-12 10:15:00,Down,70857.47,70813.35,88487.08
352,04-12 10:20:00,Down,70813.35,70780.66,87448.46
353,04-12 10:25:00,Down,70780.66,70741.58,93299.86
354,04-12 10:30:00,Up,70741.58,70814.72,125370.82
355,04-12 10:35:00,Up,70814.72,70855.99,78963.22
356,04-12 10:40:00,Up,70855.99,70898.29,89708.97
357,04-12 10:45:00,Up,70898.29,70911.26,88925.01
358,04-12 10:50:00,Up,70911.26,70941.14,87670.44
359,04-12 10:55:00,Down,70941.14,70916.18,69924.01
360,04-12 11:00:00,Up,70916.18,70973.60,91670.51
361,04-12 11:05:00,Down,70973.60,70878.24,74973.88
362,04-12 11:10:00,Up,70878.24,70958.54,78551.72
363,04-12 11:15:00,Down,70958.54,70901.36,68833.47
364,04-12 11:20:00,Up,70901.36,70963.06,82501.63
365,04-12 11:25:00,Down,70963.06,70954.73,94389.85
366,04-12 11:30:00,Up,70954.73,70963.13,80681.06
367,04-12 11:35:00,Down,70963.13,70919.52,96503.32
368,04-12 11:40:00,Down,70919.52,70901.68,95439.95
369,04-12 11:45:00,Down,70901.68,70882.61,92356.58
370,04-12 11:50:00,Up,70882.61,70910.02,82326.76
371,04-12 11:55:00,Up,70910.02,70959.41,113121.24
372,04-12 12:00:00,Up,70959.41,70992.26,116141.33
373,04-12 12:05:00,Up,70992.26,70998.94,71766.80
374,04-12 12:10:00,Down,70998.94,70927.85,70217.20
375,04-12 12:15:00,Up,70927.85,70971.82,62707.19
376,04-12 12:20:00,Up,70971.82,70991.92,87292.78
377,04-12 12:25:00,Up,70991.92,71021.45,84400.04
378,04-12 12:30:00,Down,71021.45,71015.37,117744.54
379,04-12 12:35:00,Up,71015.37,71031.69,149945.72
380,04-12 12:40:00,Up,71031.69,71039.64,145112.48
381,04-12 12:45:00,Up,71039.64,71041.14,174241.89
382,04-12 12:50:00,Up,71041.14,71151.31,131741.46
383,04-12 12:55:00,Up,71151.31,71164.94,191079.25
384,04-12 13:00:00,Up,71164.94,71175.80,204854.88
385,04-12 13:05:00,Up,71175.80,71182.01,176484.91
386,04-12 13:10:00,Up,71182.01,71200.06,143863.49
387,04-12 13:15:00,Down,71200.06,71124.18,142397.82
388,04-12 13:20:00,Up,71124.18,71128.96,118564.43
389,04-12 13:25:00,Down,71128.96,71113.63,151148.49
390,04-12 13:30:00,Up,71113.63,71176.06,72103.50
391,04-12 13:35:00,Up,71176.06,71217.60,69436.14
392,04-12 13:40:00,Down,71217.60,71145.34,171241.82
393,04-12 13:45:00,Up,71145.34,71146.95,76787.50
394,04-12 13:50:00,Up,71146.95,71165.57,66900.04
395,04-12 13:55:00,Down,71165.57,71159.71,61253.82
396,04-12 14:00:00,Up,71159.71,71177.62,57016.26
397,04-12 14:05:00,Down,71177.62,71176.02,128318.76
398,04-12 14:10:00,Down,71176.02,71161.74,143318.11
399,04-12 14:15:00,Up,71161.74,71170.96,114489.00
400,04-12 14:20:00,Up,71170.96,71183.34,56525.94
401,04-12 14:25:00,Up,71183.34,71190.81,92465.53
402,04-12 14:30:00,Down,71190.81,71189.83,156039.27
403,04-12 14:35:00,Down,71189.83,71144.92,166108.91
404,04-12 14:40:00,Down,71144.92,71132.39,177757.28
405,04-12 14:45:00,Up,71132.39,71143.87,124144.63
406,04-12 14:50:00,Up,71143.87,71147.62,218952.20
407,04-12 14:55:00,Down,71147.62,71114.84,87849.16
408,04-12 15:00:00,Down,71114.84,71103.77,73406.31
409,04-12 15:05:00,Down,71103.77,71029.75,122704.39
410,04-12 15:10:00,Up,71029.75,71039.89,108283.86
411,04-12 15:15:00,Down,71039.89,71039.08,203568.86
412,04-12 15:20:00,Up,71039.08,71073.91,81423.29
413,04-12 15:25:00,Up,71073.91,71076.99,60409.90
414,04-12 15:30:00,Up,71076.99,71162.25,69922.63
415,04-12 15:35:00,Up,71162.25,71171.71,81576.53
416,04-12 15:40:00,Up,71171.71,71342.09,106141.20
417,04-12 15:45:00,Down,71342.09,71264.14,176961.11
418,04-12 15:50:00,Up,71264.14,71334.62,133310.22
419,04-12 15:55:00,Up,71334.62,71358.03,84008.70
420,04-12 16:00:00,Up,71358.03,71434.24,85066.79
421,04-12 16:05:00,Down,71434.24,71335.34,129629.29
422,04-12 16:10:00,Down,71335.34,71236.09,177128.26
423,04-12 16:15:00,Up,71236.09,71329.09,84384.19
424,04-12 16:20:00,Up,71329.09,71341.16,185747.59
425,04-12 16:25:00,Down,71341.16,71329.03,75858.16
426,04-12 16:30:00,Down,71329.03,71266.56,114053.34
427,04-12 16:35:00,Up,71266.56,71350.73,71694.50
428,04-12 16:40:00,Down,71350.73,71330.67,74976.00
429,04-12 16:45:00,Down,71330.67,71245.90,70226.87
430,04-12 16:50:00,Down,71245.90,71244.88,93416.14
431,04-12 16:55:00,Up,71244.88,71386.89,68109.95
432,04-12 17:00:00,Down,71386.89,70755.17,148208.72
433,04-12 17:05:00,Up,70755.17,70940.41,103403.46
434,04-12 17:10:00,Up,70940.41,70960.90,167997.08
435,04-12 17:15:00,Down,70960.90,70736.49,118012.68
436,04-12 17:20:00,Up,70736.49,70779.17,91910.41
437,04-12 17:25:00,Down,70779.17,70670.13,124183.41
438,04-12 17:30:00,Up,70670.13,70761.16,148588.54
439,04-12 17:35:00,Up,70761.16,70874.61,62770.93
440,04-12 17:40:00,Down,70874.61,70825.59,93698.21
441,04-12 17:45:00,Down,70825.59,70792.34,121133.80
442,04-12 17:50:00,Up,70792.34,70853.10,71094.42
443,04-12 17:55:00,Up,70853.10,70916.52,75780.99
444,04-12 18:00:00,Down,70916.52,70792.51,139072.15
445,04-12 18:05:00,Down,70792.51,70757.56,110933.77
446,04-12 18:10:00,Down,70757.56,70645.92,93122.84
447,04-12 18:15:00,Up,70645.92,70701.64,125192.07
448,04-12 18:20:00,Down,70701.64,70625.87,132374.50
449,04-12 18:25:00,Up,70625.87,70721.27,127384.36
450,04-12 18:30:00,Down,70721.27,70588.31,95500.92
451,04-12 18:35:00,Up,70588.31,70646.42,85496.33
452,04-12 18:40:00,Up,70646.42,70734.50,82843.65
453,04-12 18:45:00,Down,70734.50,70605.41,119927.62
454,04-12 18:50:00,Up,70605.41,70733.52,99327.26
455,04-12 18:55:00,Up,70733.52,70747.72,100809.55
456,04-12 19:00:00,Down,70747.72,70695.73,89115.06
457,04-12 19:05:00,Up,70695.73,70894.12,61256.73
458,04-12 19:10:00,Up,70894.12,70918.37,72451.27
459,04-12 19:15:00,Down,70918.37,70852.10,63840.63
460,04-12 19:20:00,Up,70852.10,70929.33,100293.36
461,04-12 19:25:00,Up,70929.33,70988.45,119249.24
462,04-12 19:30:00,Up,70988.45,71087.05,135233.69
463,04-12 19:35:00,Down,71087.05,71061.37,184973.77
464,04-12 19:40:00,Up,71061.37,71072.19,113453.88
