No,窗口开始 (ET),结果,开盘价 ($),结算价 ($),成交量 ($)
930,04-14 10:30:00,Up,74842.34,75102.06,147592.53
931,04-14 10:35:00,Up,75102.06,75200.36,130553.68
932,04-14 10:40:00,Up,75200.36,75320.76,90207.67
933,04-14 10:45:00,Down,75320.76,75277.01,125343.57
934,04-14 10:50:00,Up,75277.01,75466.92,102658.14
935,04-14 10:55:00,Down,75466.92,75356.19,132735.08
936,04-14 11:00:00,Up,75356.19,75494.68,91594.38
937,04-14 11:05:00,Up,75494.68,75688.65,108779.30
938,04-14 11:10:00,Down,75688.65,75523.72,82440.06
939,04-14 11:15:00,Down,75523.72,75353.88,104974.40
940,04-14 11:20:00,Down,75353.88,75244.39,111645.68
941,04-14 11:25:00,Up,75244.39,75280.48,104172.20
942,04-14 11:30:00,Down,75280.48,75208.03,108514.89
943,04-14 11:35:00,Up,75208.03,75268.41,131789.81
944,04-14 11:40:00,Down,75268.41,75248.47,121564.56
945,04-14 11:45:00,Down,75248.47,75136.25,99078.02
946,04-14 11:50:00,Down,75136.25,74819.07,116604.57
947,04-14 11:55:00,Down,74819.07,74691.33,124506.34
948,04-14 12:00:00,Up,74691.33,74697.89,148988.03
949,04-14 12:05:00,Up,74697.89,74771.08,96647.70
950,04-14 12:10:00,Up,74771.08,74819.92,101439.81
951,04-14 12:15:00,Up,74819.92,74899.62,106021.30
952,04-14 12:20:00,Down,74899.62,74885.75,140531.38
953,04-14 12:25:00,Down,74885.75,74666.61,112058.07
954,04-14 12:30:00,Down,74666.61,74385.45,125106.03
955,04-14 12:35:00,Up,74385.45,74413.21,148094.88
956,04-14 12:40:00,Up,74413.21,74583.79,101746.86
957,04-14 12:45:00,Up,74583.79,74701.42,116723.46
958,04-14 12:50:00,Up,74701.42,74711.86,107315.04
959,04-14 12:55:00,Up,74711.86,74784.25,112873.64
960,04-14 13:00:00,Up,74784.25,74803.53,124590.38
961,04-14 13:05:00,Up,74803.53,74823.25,125964.80
962,04-14 13:10:00,Down,74823.25,74712.54,150843.20
963,04-14 13:15:00,Up,74712.54,74760.09,120479.99
964,04-14 13:20:00,Down,74760.09,74537.22,105764.96
965,04-14 13:25:00,Up,74537.22,74563.00,90269.36
966,04-14 13:30:00,Down,74563.00,74459.92,105014.32
967,04-14 13:35:00,Down,74459.92,74227.59,138975.92
968,04-14 13:40:00,Up,74227.59,74332.86,89735.51
969,04-14 13:45:00,Down,74332.86,73894.70,135708.95
970,04-14 13:50:00,Up,73894.70,74127.99,113228.64
971,04-14 13:55:00,Up,74127.99,74133.76,121849.51
972,04-14 14:00:00,Up,74133.76,74243.13,84194.86
973,04-14 14:05:00,Up,74243.13,74381.10,72409.15
974,04-14 14:10:00,Down,74381.10,74307.03,141385.63
975,04-14 14:15:00,Up,74307.03,74373.46,100138.95
976,04-14 14:20:00,Down,74373.46,74070.79,102067.66
977,04-14 14:25:00,Up,74070.79,74204.85,138459.24
978,04-14 14:30:00,Down,74204.85,74148.62,133204.18
979,04-14 14:35:00,Up,74148.62,74211.21,143092.04
980,04-14 14:40:00,Down,74211.21,74167.14,117539.04
981,04-14 14:45:00,Up,74167.14,74198.26,103170.01
982,04-14 14:50:00,Up,74198.26,74280.40,122896.94
983,04-14 14:55:00,Down,74280.40,74268.12,173463.20
984,04-14 15:00:00,Up,74268.12,74339.99,91622.34
985,04-14 15:05:00,Up,74339.99,74410.85,96739.26
986,04-14 15:10:00,Up,74410.85,74451.69,102618.56
987,04-14 15:15:00,Down,74451.69,74342.69,124080.60
988,04-14 15:20:00,Down,74342.69,74224.99,80195.42
989,04-14 15:25:00,Down,74224.99,74219.07,84457.56
990,04-14 15:30:00,Up,74219.07,74230.67,121181.16
991,04-14 15:35:00,Down,74230.67,74200.18,86181.43
992,04-14 15:40:00,Up,74200.18,74286.79,85818.97
993,04-14 15:45:00,Down,74286.79,74260.35,128643.03
994,04-14 15:50:00,Down,74260.35,74174.71,82415.85
995,04-14 15:55:00,Down,74174.71,74137.48,119106.22
996,04-14 16:00:00,Up,74137.48,74321.13,113709.35
997,04-14 16:05:00,Down,74321.13,74261.67,96136.33
998,04-14 16:10:00,Down,74261.67,74237.37,72527.30
999,04-14 16:15:00,Down,74237.37,74197.78,83773.93
1000,04-14 16:20:00,Down,74197.78,74087.57,93552.56
1001,04-14 16:25:00,Up,74087.57,74154.68,92250.82
1002,04-14 16:30:00,Down,74154.68,74078.84,74461.55
1003,04-14 16:35:00,Down,74078.84,74072.32,119892.08
1004,04-14 16:40:00,Down,74072.32,74042.01,111566.30
1005,04-14 16:45:00,Down,74042.01,74036.46,94994.50
1006,04-14 16:50:00,Up,74036.46,74242.62,81904.02
1007,04-14 16:55:00,Up,74242.62,74303.65,97425.30
1008,04-14 17:00:00,Down,74303.65,74202.23,84220.71
1009,04-14 17:05:00,Up,74202.23,74345.30,111233.71
1010,04-14 17:10:00,Down,74345.30,74343.06,340438.82
1011,04-14 17:15:00,Down,74343.06,74141.62,83306.92
1012,04-14 17:20:00,Down,74141.62,74105.09,81263.87
1013,04-14 17:25:00,Down,74105.09,73945.51,74273.50
1014,04-14 17:30:00,Up,73945.51,74038.74,135638.20
1015,04-14 17:35:00,Down,74038.74,74009.52,90163.21
1016,04-14 17:40:00,Down,74009.52,74006.46,77041.22
1017,04-14 17:45:00,Up,74006.46,74048.89,80988.53
1018,04-14 17:50:00,Up,74048.89,74103.59,70342.23
1019,04-14 17:55:00,Down,74103.59,74059.03,99957.14
1020,04-14 18:00:00,Up,74059.03,74142.18,68219.95
1021,04-14 18:05:00,Down,74142.18,74083.05,137166.41
1022,04-14 18:10:00,Up,74083.05,74128.98,63594.53
1023,04-14 18:15:00,Up,74128.98,74183.93,78645.93
1024,04-14 18:20:00,Down,74183.93,74148.59,62902.57
1025,04-14 18:25:00,Down,74148.59,74141.33,74625.59
1026,04-14 18:30:00,Up,74141.33,74189.21,103621.55
1027,04-14 18:35:00,Down,74189.21,74184.52,113558.99
1028,04-14 18:40:00,Down,74184.52,74169.50,145649.35
1029,04-14 18:45:00,Up,74169.50,74244.44,82987.43
1030,04-14 18:50:00,Down,74244.44,74095.03,153375.95
1031,04-14 18:55:00,Up,74095.03,74173.73,69552.80
1032,04-14 19:00:00,Up,74173.73,74572.79,80899.37
1033,04-14 19:05:00,Up,74572.79,74649.04,120708.44
1034,04-14 19:10:00,Down,74649.04,74566.30,114469.31
1035,04-14 19:15:00,Down,74566.30,74428.58,72903.62
1036,04-14 19:20:00,Up,74428.58,74602.87,194253.98
1037,04-14 19:25:00,Up,74602.87,74615.00,272544.52
1038,04-14 19:30:00,Down,74615.00,74540.11,137660.63
1039,04-14 19:35:00,Up,74540.11,74567.59,112036.92
1040,04-14 19:40:00,Up,74567.59,74579.10,100550.81
1041,04-14 19:45:00,Down,74579.10,74478.32,128988.01
1042,04-14 19:50:00,Down,74478.32,74468.20,106011.55
1043,04-14 19:55:00,Up,74468.20,74592.96,92920.03
1044,04-14 20:00:00,Up,74592.96,74664.48,137394.18
1045,04-14 20:05:00,Up,74664.48,74744.72,127472.94
1046,04-14 20:10:00,Up,74744.72,74781.24,171111.38
1047,04-14 20:15:00,Down,74781.24,74717.62,127757.98
1048,04-14 20:20:00,Down,74717.62,74633.11,93430.92
1049,04-14 20:25:00,Up,74633.11,74707.63,120102.69
1050,04-14 20:30:00,Down,74707.63,74666.67,119395.75
1051,04-14 20:35:00,Down,74666.67,74601.18,100933.62
1052,04-14 20:40:00,Up,74601.18,74667.28,134997.00
1053,04-14 20:45:00,Up,74667.28,74679.72,102327.34
1054,04-14 20:50:00,Down,74679.72,74650.65,115478.65
1055,04-14 20:55:00,Down,74650.65,74641.19,63945.39
1056,04-14 21:00:00,Up,74641.19,74677.59,160984.44
1057,04-14 21:05:00,Down,74677.59,74574.98,106933.23
1058,04-14 21:10:00,Down,74574.98,74574.39,143206.93
1059,04-14 21:15:00,Down,74574.39,74561.72,130611.09
1060,04-14 21:20:00,Down,74561.72,74490.41,125489.75
1061,04-14 21:25:00,Down,74490.41,74378.87,90936.68
1062,04-14 21:30:00,Down,74378.87,74238.64,154557.87
1063,04-14 21:35:00,Down,74238.64,74236.16,284007.51
1064,04-14 21:40:00,Up,74236.16,74308.92,105725.66
1065,04-14 21:45:00,Down,74308.92,74247.95,132204.28
1066,04-14 21:50:00,Up,74247.95,74313.64,74400.21
1067,04-14 21:55:00,Up,74313.64,74352.86,98277.93
1068,04-14 22:00:00,Down,74352.86,74279.90,81639.96
1069,04-14 22:05:00,Down,74279.90,74274.91,126366.12
1070,04-14 22:10:00,Down,74274.91,74254.84,68130.02
1071,04-14 22:15:00,Down,74254.84,74241.27,100615.02
1072,04-14 22:20:00,Up,74241.27,74325.13,68730.00
1073,04-14 22:25:00,Down,74325.13,74317.02,77452.49
1074,04-14 22:30:00,Up,74317.02,74322.34,78359.08
1075,04-14 22:35:00,Down,74322.34,74257.39,77427.63
1076,04-14 22:40:00,Down,74257.39,74256.76,82164.06
1077,04-14 22:45:00,Up,74256.76,74289.62,57657.02
1078,04-14 22:50:00,Up,74289.62,74305.51,59151.48
1079,04-14 22:55:00,Up,74305.51,74363.50,56562.20
1080,04-14 23:00:00,Up,74363.50,74438.51,59789.82
1081,04-14 23:05:00,Down,74438.51,74384.17,76350.46
1082,04-14 23:10:00,Down,74384.17,74369.95,139416.72
1083,04-14 23:15:00,Down,74369.95,74364.02,149527.18
1084,04-14 23:20:00,Down,74364.02,74354.04,90281.12
1085,04-14 23:25:00,Down,74354.04,74332.14,117771.00
1086,04-14 23:30:00,Down,74332.14,74323.96,127677.88
1087,04-14 23:35:00,Up,74323.96,74348.05,103793.87
1088,04-14 23:40:00,Up,74348.05,74361.39,698782.22
1089,04-14 23:45:00,Up,74361.39,74366.80,122983.71
1090,04-14 23:50:00,Up,74366.80,74373.14,104085.56
1091,04-14 23:55:00,Down,74373.14,74345.87,140263.04
1092,04-15 00:00:00,Up,74345.87,74376.21,179849.71
1093,04-15 00:05:00,Down,74376.21,74264.03,102183.70
1094,04-15 00:10:00,Down,74264.03,74231.70,285913.48
1095,04-15 00:15:00,Up,74231.70,74258.84,90201.24
1096,04-15 00:20:00,Down,74258.84,74147.52,82510.40
1097,04-15 00:25:00,Down,74147.52,74038.16,171162.72
1098,04-15 00:30:00,Up,74038.16,74040.95,301629.12
1099,04-15 00:35:00,Down,74040.95,73914.15,109198.95
1100,04-15 00:40:00,Up,73914.15,73975.25,79257.03
1101,04-15 00:45:00,Down,73975.25,73955.69,100524.50
1102,04-15 00:50:00,Up,73955.69,74005.03,80173.67
1103,04-15 00:55:00,Up,74005.03,74046.12,80899.05
1104,04-15 01:00:00,Down,74046.12,73963.37,76793.75
1105,04-15 01:05:00,Up,73963.37,73971.85,123386.73
1106,04-15 01:10:00,Down,73971.85,73968.92,220235.45
1107,04-15 01:15:00,Up,73968.92,74021.04,121953.16
1108,04-15 01:20:00,Down,74021.04,73979.17,86709.32
1109,04-15 01:25:00,Down,73979.17,73950.74,90385.75
1110,04-15 01:30:00,Down,73950.74,73937.79,170491.21
1111,04-15 01:35:00,Up,73937.79,73998.56,179610.81
1112,04-15 01:40:00,Up,73998.56,74028.42,90259.67
1113,04-15 01:45:00,Down,74028.42,73992.21,109064.86
1114,04-15 01:50:00,Down,73992.21,73929.05,81256.07
1115,04-15 01:55:00,Down,73929.05,73918.10,97859.89
1116,04-15 02:00:00,Up,73918.10,73934.18,178932.36
1117,04-15 02:05:00,Down,73934.18,73882.59,135172.90
1118,04-15 02:10:00,Up,73882.59,73941.13,146072.73
1119,04-15 02:15:00,Down,73941.13,73673.25,113790.35
1120,04-15 02:20:00,Up,73673.25,73707.50,162273.26
1121,04-15 02:25:00,Up,73707.50,73735.62,109206.56
1122,04-15 02:30:00,Down,73735.62,73650.53,116377.11
1123,04-15 02:35:00,Up,73650.53,73670.49,98870.75
1124,04-15 02:40:00,Down,73670.49,73621.24,106249.25
1125,04-15 02:45:00,Up,73621.24,73678.80,108390.98
1126,04-15 02:50:00,Up,73678.80,73777.93,151660.29
1127,04-15 02:55:00,Down,73777.93,73761.81,100266.27
1128,04-15 03:00:00,Up,73761.81,73784.64,81378.90
1129,04-15 03:05:00,Down,73784.64,73771.06,78588.19
1130,04-15 03:10:00,Up,73771.06,73865.20,60725.57
1131,04-15 03:15:00,Up,73865.20,73882.70,82487.46
1132,04-15 03:20:00,Up,73882.70,73962.61,73744.68
1133,04-15 03:25:00,Up,73962.61,74010.53,91544.73
1134,04-15 03:30:00,Up,74010.53,74157.79,91508.33
1135,04-15 03:35:00,Down,74157.79,74126.33,97260.32
1136,04-15 03:40:00,Down,74126.33,74121.37,77375.93
1137,04-15 03:45:00,Down,74121.37,74080.82,75536.00
1138,04-15 03:50:00,Up,74080.82,74185.89,87142.82
1139,04-15 03:55:00,Down,74185.89,74136.39,83974.43
1140,04-15 04:00:00,Down,74136.39,74074.58,109954.40
1141,04-15 04:05:00,Down,74074.58,74039.64,81884.77
1142,04-15 04:10:00,Up,74039.64,74048.67,126087.66
1143,04-15 04:15:00,Up,74048.67,74101.21,72362.91
1144,04-15 04:20:00,Down,74101.21,74071.02,71177.13
1145,04-15 04:25:00,Down,74071.02,73975.98,83344.04
1146,04-15 04:30:00,Down,73975.98,73951.57,90880.17
1147,04-15 04:35:00,Down,73951.57,73948.76,95007.08
1148,04-15 04:40:00,Up,73948.76,73989.21,74576.71
1149,04-15 04:45:00,Down,73989.21,73971.74,72233.15
1150,04-15 04:50:00,Up,73971.74,73990.55,90967.66
1151,04-15 04:55:00,Up,73990.55,74031.36,73062.15
1152,04-15 05:00:00,Up,74031.36,74032.78,113072.98
1153,04-15 05:05:00,Up,74032.78,74150.88,115925.34
1154,04-15 05:10:00,Down,74150.88,74135.27,88011.77
1155,04-15 05:15:00,Down,74135.27,74025.39,104607.10
1156,04-15 05:20:00,Down,74025.39,74006.44,88966.98
1157,04-15 05:25:00,Down,74006.44,73924.82,69008.06
1158,04-15 05:30:00,Down,73924.82,73856.89,87073.79
1159,04-15 05:35:00,Up,73856.89,73864.15,100550.88
1160,04-15 05:40:00,Up,73864.15,74070.08,66614.93
1161,04-15 05:45:00,Up,74070.08,74110.50,124326.58
1162,04-15 05:50:00,Down,74110.50,74018.43,86216.97
1163,04-15 05:55:00,Down,74018.43,73879.57,58748.06
1164,04-15 06:00:00,Up,73879.57,73921.02,82747.73
1165,04-15 06:05:00,Up,73921.02,74007.97,75994.89
1166,04-15 06:10:00,Up,74007.97,74046.31,79556.98
1167,04-15 06:15:00,Down,74046.31,73965.82,61546.05
1168,04-15 06:20:00,Up,73965.82,73994.61,85852.35
1169,04-15 06:25:00,Down,73994.61,73979.28,98985.13
1170,04-15 06:30:00,Up,73979.28,74001.88,86885.63
1171,04-15 06:35:00,Up,74001.88,74031.06,86135.52
1172,04-15 06:40:00,Up,74031.06,74070.17,79237.21
1173,04-15 06:45:00,Up,74070.17,74117.37,167093.25
1174,04-15 06:50:00,Up,74117.37,74238.73,131351.46
1175,04-15 06:55:00,Down,74238.73,74220.68,98442.45
1176,04-15 07:00:00,Down,74220.68,74162.96,141731.75
1177,04-15 07:05:00,Down,74162.96,74160.81,0.00
1178,04-15 07:10:00,Up,74160.81,74225.59,0.00
1179,04-15 07:15:00,Up,74225.59,74229.51,133389.95
1180,04-15 07:20:00,Up,74229.51,74250.44,82278.11
1181,04-15 07:25:00,Down,74250.44,74199.81,70986.06
1182,04-15 07:30:00,Up,74199.81,74247.32,76925.80
1183,04-15 07:35:00,Up,74247.32,74469.12,142385.35
1184,04-15 07:40:00,Down,74469.12,74361.84,113432.26
1185,04-15 07:45:00,Up,74361.84,74368.24,121467.40
1186,04-15 07:50:00,Down,74368.24,74353.45,77101.84
1187,04-15 07:55:00,Down,74353.45,74295.17,95987.78
1188,04-15 08:00:00,Down,74295.17,74252.42,154510.41
1189,04-15 08:05:00,Up,74252.42,74359.00,124402.48
1190,04-15 08:10:00,Down,74359.00,74336.29,91421.11
1191,04-15 08:15:00,Down,74336.29,74298.66,97157.55
1192,04-15 08:20:00,Down,74298.66,74292.00,114659.79
1193,04-15 08:25:00,Up,74292.00,74415.19,97609.53
1194,04-15 08:30:00,Down,74415.19,74218.50,152499.43
1195,04-15 08:35:00,Down,74218.50,74144.78,177557.19
1196,04-15 08:40:00,Down,74144.78,73888.00,90268.64
1197,04-15 08:45:00,Up,73888.00,73935.54,171583.88
1198,04-15 08:50:00,Down,73935.54,73870.17,128452.24
1199,04-15 08:55:00,Up,73870.17,74070.08,102760.37
1200,04-15 09:00:00,Down,74070.08,73950.89,116291.77
1201,04-15 09:05:00,Up,73950.89,73956.09,194679.10
1202,04-15 09:10:00,Up,73956.09,74143.37,103047.00
1203,04-15 09:15:00,Up,74143.37,74179.54,177131.77
1204,04-15 09:20:00,Up,74179.54,74445.78,122179.33
1205,04-15 09:25:00,Up,74445.78,74447.74,160167.76
1206,04-15 09:30:00,Down,74447.74,74321.45,129148.30
1207,04-15 09:35:00,Down,74321.45,74006.56,126143.28
1208,04-15 09:40:00,Down,74006.56,73972.38,146480.96
1209,04-15 09:45:00,Up,73972.38,74123.87,93712.54
1210,04-15 09:50:00,Up,74123.87,74171.01,147542.02
1211,04-15 09:55:00,Down,74171.01,74160.26,128486.47
1212,04-15 10:00:00,Down,74160.26,74143.37,144675.80
1213,04-15 10:05:00,Down,74143.37,74042.63,105176.06
1214,04-15 10:10:00,Up,74042.63,74290.97,123591.59
1215,04-15 10:15:00,Down,74290.97,74158.98,95190.58
1216,04-15 10:20:00,Down,74158.98,74063.37,94528.47
1217,04-15 10:25:00,Down,74063.37,74048.11,102406.52
1218,04-15 10:30:00,Down,74048.11,73673.86,107015.91
1219,04-15 10:35:00,Up,73673.86,73755.28,115007.90
1220,04-15 10:40:00,Up,73755.28,73873.95,137755.56
1221,04-15 10:45:00,Up,73873.95,73929.93,93386.74
1222,04-15 10:50:00,Down,73929.93,73853.97,100628.27
1223,04-15 10:55:00,Up,73853.97,73858.97,155114.53
1224,04-15 11:00:00,Up,73858.97,73969.44,161636.94
1225,04-15 11:05:00,Up,73969.44,73990.83,208602.18
1226,04-15 11:10:00,Up,73990.83,74024.20,110983.48
1227,04-15 11:15:00,Up,74024.20,74083.03,143883.62
1228,04-15 11:20:00,Up,74083.03,74131.98,130904.32
1229,04-15 11:25:00,Down,74131.98,74108.56,117795.17
1230,04-15 11:30:00,Down,74108.56,74043.85,109213.78
1231,04-15 11:35:00,Down,74043.85,74043.34,184689.59
1232,04-15 11:40:00,Down,74043.34,73916.19,101741.78
1233,04-15 11:45:00,Up,73916.19,74001.19,119300.26
1234,04-15 11:50:00,Down,74001.19,73856.44,99360.71
1235,04-15 11:55:00,Up,73856.44,73949.99,90946.80
1236,04-15 12:00:00,Up,73949.99,74081.01,132178.59
1237,04-15 12:05:00,Down,74081.01,74059.52,111249.25
1238,04-15 12:10:00,Down,74059.52,74046.41,79076.58
1239,04-15 12:15:00,Down,74046.41,74034.30,85147.64
1240,04-15 12:20:00,Down,74034.30,74026.70,105193.24
1241,04-15 12:25:00,Up,74026.70,74135.41,111059.85
1242,04-15 12:30:00,Up,74135.41,74151.60,121135.97
1243,04-15 12:35:00,Down,74151.60,74083.90,102919.93
1244,04-15 12:40:00,Down,74083.90,73989.87,95751.83
1245,04-15 12:45:00,Up,73989.87,74012.75,98247.19
1246,04-15 12:50:00,Up,74012.75,74134.80,75958.72
1247,04-15 12:55:00,Up,74134.80,74148.61,89935.71
1248,04-15 13:00:00,Up,74148.61,74252.96,206123.49
1249,04-15 13:05:00,Down,74252.96,74234.01,127446.28
1250,04-15 13:10:00,Up,74234.01,74298.45,79321.74
1251,04-15 13:15:00,Up,74298.45,74331.26,89681.43
1252,04-15 13:20:00,Down,74331.26,74297.71,86739.74
1253,04-15 13:25:00,Down,74297.71,74215.22,97757.76
1254,04-15 13:30:00,Up,74215.22,74323.48,92601.21
1255,04-15 13:35:00,Down,74323.48,74277.53,94534.99
1256,04-15 13:40:00,Up,74277.53,74325.24,83267.76
1257,04-15 13:45:00,Up,74325.24,74354.11,97346.17
1258,04-15 13:50:00,Up,74354.11,74380.92,82560.48
1259,04-15 13:55:00,Up,74380.92,74405.36,108823.92
1260,04-15 14:00:00,Up,74405.36,74469.87,147336.53
1261,04-15 14:05:00,Up,74469.87,74679.76,111644.03
1262,04-15 14:10:00,Down,74679.76,74661.36,127071.34
1263,04-15 14:15:00,Up,74661.36,74672.56,107769.56
1264,04-15 14:20:00,Down,74672.56,74666.37,106965.43
1265,04-15 14:25:00,Up,74666.37,74744.67,96445.96
1266,04-15 14:30:00,Up,74744.67,74968.44,151480.62
1267,04-15 14:35:00,Up,74968.44,75170.04,180916.97
1268,04-15 14:40:00,Down,75170.04,75091.05,139499.95
1269,04-15 14:45:00,Down,75091.05,75060.11,117532.08
1270,04-15 14:50:00,Up,75060.11,75088.92,126160.30
1271,04-15 14:55:00,Down,75088.92,75014.80,112611.49
1272,04-15 15:00:00,Down,75014.80,74874.65,109355.70
1273,04-15 15:05:00,Down,74874.65,74788.05,120289.70
1274,04-15 15:10:00,Down,74788.05,74686.65,94743.43
1275,04-15 15:15:00,Down,74686.65,74628.58,134102.87
1276,04-15 15:20:00,Up,74628.58,74653.17,145808.72
1277,04-15 15:25:00,Up,74653.17,74785.63,114746.50
1278,04-15 15:30:00,Up,74785.63,74786.06,161472.41
1279,04-15 15:35:00,Down,74786.06,74688.29,90818.61
1280,04-15 15:40:00,Up,74688.29,74763.11,102467.80
1281,04-15 15:45:00,Up,74763.11,74793.84,107412.26
1282,04-15 15:50:00,Up,74793.84,74862.46,94606.34
1283,04-15 15:55:00,Down,74862.46,74859.21,318953.41
1284,04-15 16:00:00,Down,74859.21,74815.42,105557.79
1285,04-15 16:05:00,Down,74815.42,74781.66,112360.48
1286,04-15 16:10:00,Down,74781.66,74745.81,91266.87
1287,04-15 16:15:00,Down,74745.81,74665.13,102748.98
1288,04-15 16:20:00,Up,74665.13,74698.32,106814.40
1289,04-15 16:25:00,Down,74698.32,74659.51,92229.28
1290,04-15 16:30:00,Down,74659.51,74580.07,90912.82
1291,04-15 16:35:00,Up,74580.07,74738.65,81035.71
1292,04-15 16:40:00,Up,74738.65,74760.71,213563.95
1293,04-15 16:45:00,Down,74760.71,74757.53,117623.72
1294,04-15 16:50:00,Up,74757.53,74818.98,74351.35
1295,04-15 16:55:00,Down,74818.98,74765.18,95240.72
1296,04-15 17:00:00,Up,74765.18,75019.69,108879.91
1297,04-15 17:05:00,Up,75019.69,75157.07,154360.32
1298,04-15 17:10:00,Down,75157.07,75063.86,108016.34
1299,04-15 17:15:00,Down,75063.86,74943.05,154991.43
1300,04-15 17:20:00,Up,74943.05,75022.76,88339.08
1301,04-15 17:25:00,Down,75022.76,75009.33,108602.04
1302,04-15 17:30:00,Down,75009.33,74991.02,104495.34
1303,04-15 17:35:00,Up,74991.02,75302.65,145393.70
1304,04-15 17:40:00,Down,75302.65,75088.65,116095.06
1305,04-15 17:45:00,Up,75088.65,75142.86,94787.85
1306,04-15 17:50:00,Down,75142.86,75107.56,87581.47
1307,04-15 17:55:00,Down,75107.56,74983.91,121897.06
1308,04-15 18:00:00,Down,74983.91,74841.12,111869.70
1309,04-15 18:05:00,Down,74841.12,74798.86,105307.53
1310,04-15 18:10:00,Down,74798.86,74768.02,91896.81
1311,04-15 18:15:00,Down,74768.02,74740.36,103292.93
1312,04-15 18:20:00,Down,74740.36,74720.00,103044.69
1313,04-15 18:25:00,Up,74720.00,74757.26,81555.91
1314,04-15 18:30:00,Down,74757.26,74725.74,94455.27
1315,04-15 18:35:00,Down,74725.74,74670.21,73187.24
1316,04-15 18:40:00,Up,74670.21,74676.25,101788.03
1317,04-15 18:45:00,Up,74676.25,74770.75,73033.76
1318,04-15 18:50:00,Up,74770.75,74825.78,78107.79
1319,04-15 18:55:00,Up,74825.78,74832.99,88693.99
1320,04-15 19:00:00,Down,74832.99,74669.75,75968.97
1321,04-15 19:05:00,Down,74669.75,74651.93,111356.31
1322,04-15 19:10:00,Down,74651.93,74623.29,119436.32
1323,04-15 19:15:00,Down,74623.29,74601.81,102868.82
1324,04-15 19:20:00,Down,74601.81,74519.56,124682.88
1325,04-15 19:25:00,Up,74519.56,74619.70,171567.57
1326,04-15 19:30:00,Up,74619.70,74873.78,226440.69
1327,04-15 19:35:00,Down,74873.78,74793.39,118949.63
1328,04-15 19:40:00,Down,74793.39,74789.91,131832.10
1329,04-15 19:45:00,Down,74789.91,74729.08,109275.01
1330,04-15 19:50:00,Up,74729.08,74775.66,111469.23
1331,04-15 19:55:00,Up,74775.66,74833.25,58429.85
1332,04-15 20:00:00,Down,74833.25,74706.42,174813.92
1333,04-15 20:05:00,Down,74706.42,74607.93,130267.13
1334,04-15 20:10:00,Down,74607.93,74585.86,93208.76
1335,04-15 20:15:00,Up,74585.86,74654.67,103899.64
1336,04-15 20:20:00,Down,74654.67,74620.74,96821.02
1337,04-15 20:25:00,Up,74620.74,74632.68,96203.62
1338,04-15 20:30:00,Up,74632.68,74694.25,215785.69
1339,04-15 20:35:00,Down,74694.25,74617.23,105343.07
1340,04-15 20:40:00,Up,74617.23,74702.10,170619.75
1341,04-15 20:45:00,Up,74702.10,74717.87,115241.91
1342,04-15 20:50:00,Down,74717.87,74663.49,91843.17
1343,04-15 20:55:00,Up,74663.49,74671.18,141754.67
1344,04-15 21:00:00,Up,74671.18,74712.30,133345.69
1345,04-15 21:05:00,Down,74712.30,74616.28,123798.88
1346,04-15 21:10:00,Up,74616.28,74693.87,150051.92
1347,04-15 21:15:00,Down,74693.87,74650.61,114905.20
1348,04-15 21:20:00,Up,74650.61,74753.40,100549.79
1349,04-15 21:25:00,Up,74753.40,74912.49,155576.90
1350,04-15 21:30:00,Up,74912.49,74974.50,281098.07
1351,04-15 21:35:00,Up,74974.50,75065.79,114379.10
1352,04-15 21:40:00,Up,75065.79,75212.04,280262.10
1353,04-15 21:45:00,Down,75212.04,74989.86,232397.60
1354,04-15 21:50:00,Down,74989.86,74909.71,172776.03
1355,04-15 21:55:00,Down,74909.71,74899.83,143636.04
1356,04-15 22:00:00,Up,74899.83,75006.01,116819.75
1357,04-15 22:05:00,Down,75006.01,74957.00,123749.62
1358,04-15 22:10:00,Up,74957.00,74969.91,88256.63
1359,04-15 22:15:00,Up,74969.91,75082.54,85098.83
1360,04-15 22:20:00,Down,75082.54,75078.92,65375.34
1361,04-15 22:25:00,Down,75078.92,75056.42,81592.68
1362,04-15 22:30:00,Down,75056.42,74983.28,77674.70
1363,04-15 22:35:00,Up,74983.28,74989.39,80736.60
1364,04-15 22:40:00,Down,74989.39,74987.33,79378.15
1365,04-15 22:45:00,Down,74987.33,74952.48,71648.61
1366,04-15 22:50:00,Up,74952.48,74975.00,105397.28
1367,04-15 22:55:00,Down,74975.00,74901.00,67678.08
1368,04-15 23:00:00,Down,74901.00,74882.89,77097.40
1369,04-15 23:05:00,Up,74882.89,74937.41,144235.95
1370,04-15 23:10:00,Up,74937.41,74953.79,94639.20
1371,04-15 23:15:00,Up,74953.79,74956.55,140452.57
1372,04-15 23:20:00,Down,74956.55,74902.78,113262.86
1373,04-15 23:25:00,Up,74902.78,74938.63,82526.33
1374,04-15 23:30:00,Up,74938.63,74968.78,88793.36
1375,04-15 23:35:00,Up,74968.78,75050.61,73394.03
1376,04-15 23:40:00,Up,75050.61,75123.14,132030.63
1377,04-15 23:45:00,Down,75123.14,74844.20,162755.95
1378,04-15 23:50:00,Up,74844.20,74967.93,80568.31
1379,04-15 23:55:00,Down,74967.93,74959.73,79634.32
1380,04-16 00:00:00,Up,74959.73,75019.69,74349.71
1381,04-16 00:05:00,Down,75019.69,74931.79,67342.90
