date,cap,pv,total,close,peak,dd,month
2024-05-17,9976.205502157021,0.0,9976.205502157021,65451.81,12059.79456661884,-17.277152218074534,2024-05
2024-05-17,10975.205502157021,1003.7919501385828,11978.997452295604,65700.0,12059.79456661884,-0.6699709010539961,2024-05
2024-05-17,10975.205502157021,1007.6965022052102,11982.902004362231,65955.56,12059.79456661884,-0.6375942959214724,2024-05
2024-05-17,10975.205502157021,1014.2873054236392,11989.49280758066,66386.94,12059.79456661884,-0.582943255374961,2024-05
2024-05-17,10975.205502157021,1010.6062765873089,11985.81177874433,66146.01,12059.79456661884,-0.6134664024816235,2024-05
2024-05-17,10975.205502157021,1013.6379727313882,11988.84347488841,66344.44,12059.79456661884,-0.5883275319367473,2024-05
2024-05-17,10975.205502157021,1016.0220168090079,11991.227518966029,66500.48,12059.79456661884,-0.5685590021790562,2024-05
2024-05-17,10975.205502157021,1011.7061697759008,11986.911671932921,66218.0,12059.79456661884,-0.6043460714302473,2024-05
2024-05-17,10975.205502157021,1014.18081486211,11989.38631701913,66379.97,12059.79456661884,-0.5838262767310973,2024-05
2024-05-17,10975.205502157021,1007.5201892812438,11982.725691438265,65944.02,12059.79456661884,-0.6390562853690722,2024-05
2024-05-17,10975.205502157021,1020.6999623081471,11995.905464465168,66806.66,12059.79456661884,-0.529769406939286,2024-05
2024-05-17,10975.205502157021,1026.6347103311582,12001.84021248818,67195.1,12059.79456661884,-0.4805583860530852,2024-05
2024-05-17,10975.205502157021,1022.584249388978,11997.789751545999,66929.99,12059.79456661884,-0.5141448698012583,2024-05
2024-05-17,10975.205502157021,1019.1088680358879,11994.31437019291,66702.52,12059.79456661884,-0.5429627848485796,2024-05
2024-05-17,10975.205502157021,1020.934027645683,11996.139529802704,66821.98,12059.79456661884,-0.5278285335998366,2024-05
2024-05-17,10975.205502157021,1024.3871025109925,11999.592604668014,67047.99,12059.79456661884,-0.49919558428850624,2024-05
2024-05-17,10975.205502157021,1021.9732655216105,11997.178767678632,66890.0,12059.79456661884,-0.5192111573237554,2024-05
2024-05-17,10975.205502157021,1020.7609231891371,11995.966425346158,66810.65,12059.79456661884,-0.5292639183867798,2024-05
2024-05-17,10975.205502157021,1020.1643010330807,11995.369803190102,66771.6,12059.79456661884,-0.5342111183806098,2024-05
2024-05-17,10975.205502157021,1024.0205733042371,11999.226075461258,67024.0,12059.79456661884,-0.5022348500465712,2024-05
2024-05-18,10975.205502157021,1021.9975582035088,11997.20306036053,66891.59,12059.79456661884,-0.5190097220359072,2024-05
2024-05-18,10975.205502157021,1023.3483229875537,11998.553825144576,66980.0,12059.79456661884,-0.5078091598987706,2024-05
2024-05-18,10975.205502157021,1022.2458324681929,11997.451334625213,66907.84,12059.79456661884,-0.5169510280564114,2024-05
2024-05-18,10975.205502157021,1022.8143423382792,11998.0198444953,66945.05,12059.79456661884,-0.5122369355654784,2024-05
2024-05-18,10975.205502157021,1021.8756364415285,11997.08113859855,66883.61,12059.79456661884,-0.5200206991409196,2024-05
2024-05-18,10975.205502157021,1021.434090210798,11996.63959236782,66854.71,12059.79456661884,-0.523682007202947,2024-05
2024-05-18,10975.205502157021,1022.4320763627469,11997.637578519769,66920.03,12059.79456661884,-0.5154066908496154,2024-05
2024-05-18,10975.205502157021,1021.9274302727457,11997.132932429768,66887.0,12059.79456661884,-0.5195912239045818,2024-05
2024-05-18,10975.205502157021,1024.075422818712,11999.280924975734,67027.59,12059.79456661884,-0.5017800370381672,2024-05
2024-05-18,10975.205502157021,1025.5643044860026,12000.769806643024,67125.04,12059.79456661884,-0.4894342076041294,2024-05
2024-05-18,10975.205502157021,1027.0490609808958,12002.254563137918,67222.22,12059.79456661884,-0.47712258416235154,2024-05
2024-05-18,10975.205502157021,1026.5693187094446,12001.774820866465,67190.82,12059.79456661884,-0.48110061437507745,2024-05
2024-05-18,10975.205502157021,1022.8594136663295,11998.06491582335,66948.0,12059.79456661884,-0.5118632034276649,2024-05
2024-05-18,10975.205502157021,1021.5633456125964,11996.768847769617,66863.17,12059.79456661884,-0.522610219445003,2024-05
2024-05-18,10975.205502157021,1020.5013428963997,11995.70684505342,66793.66,12059.79456661884,-0.5314163621228918,2024-05
2024-05-18,10975.205502157021,1020.9592370325588,11996.16473918958,66823.63,12059.79456661884,-0.52761949698037,2024-05
2024-05-18,10975.205502157021,1021.945306019803,11997.150808176824,66888.17,12059.79456661884,-0.5194429979380619,2024-05
2024-05-18,10975.205502157021,1021.6143755229992,11996.81987768002,66866.51,12059.79456661884,-0.5221870786516778,2024-05
2024-05-18,10975.205502157021,1020.5425946203779,11995.748096777399,66796.36,12059.79456661884,-0.5310743022001421,2024-05
2024-05-18,10975.205502157021,1022.3188632980508,11997.524365455072,66912.62,12059.79456661884,-0.5163454553042763,2024-05
2024-05-18,10975.205502157021,1023.1040211111044,11998.309523268126,66964.01,12059.79456661884,-0.5098349147746122,2024-05
2024-05-18,10975.205502157021,1022.1152020089283,11997.32070416595,66899.29,12059.79456661884,-0.5180342178117754,2024-05
2024-05-18,10975.205502157021,1022.6151117898802,11997.820613946902,66932.01,12059.79456661884,-0.5138889583034913,2024-05
2024-05-18,10975.205502157021,1022.3582816120745,11997.563783769096,66915.2,12059.79456661884,-0.5160185980447634,2024-05
2024-05-19,10975.205502157021,1022.2258177428554,11997.431319899877,66906.53,12059.79456661884,-0.5171169904633639,2024-05
2024-05-19,10975.205502157021,1022.431770794421,11997.637272951442,66920.01,12059.79456661884,-0.5154092246268266,2024-05
2024-05-19,10975.205502157021,1026.8869569840774,12002.092459141099,67211.61,12059.79456661884,-0.4784667529699049,2024-05
2024-05-19,10975.205502157021,1026.2544305497436,12001.459932706764,67170.21,12059.79456661884,-0.48371167178539515,2024-05
2024-05-19,10975.205502157021,1025.9723909850622,12001.177893142083,67151.75,12059.79456661884,-0.4860503481461186,2024-05
2024-05-19,10975.205502157021,1025.1453703113787,12000.3508724684,67097.62,12059.79456661884,-0.49290801615293967,2024-05
2024-05-19,10975.205502157021,1023.9999474422478,11999.205449599269,67022.65,12059.79456661884,-0.5024058800079462,2024-05
2024-05-19,10975.205502157021,1028.6108206938816,12003.816322850904,67324.44,12059.79456661884,-0.4641724488647843,2024-05
2024-05-19,10975.205502157021,1026.0985907036031,12001.304092860624,67160.01,12059.79456661884,-0.4850038981602256,2024-05
2024-05-19,10975.205502157021,1026.4041590293682,12001.60966118639,67180.01,12059.79456661884,-0.48247012095466674,2024-05
2024-05-19,10975.205502157021,1027.7789109269859,12002.984413084007,67269.99,12059.79456661884,-0.4710706573069082,2024-05
