date,capital,position_value,total_equity,close,peak,drawdown,month
2025-02-14,10772.460690522828,1013.7226918891771,11786.183382412006,96887.56,12069.762853001817,-2.349503250755948,2025-02
2025-02-14,10772.460690522828,1011.2641248849084,11783.724815407737,96652.58,12069.762853001817,-2.369872888786221,2025-02
2025-02-14,10772.460690522828,1012.6671967858039,11785.127887308632,96786.68,12069.762853001817,-2.3582482038774684,2025-02
2025-02-14,10772.460690522828,1017.9433121285678,11790.404002651396,97290.95,12069.762853001817,-2.314534707539374,2025-02
2025-02-14,10772.460690522828,1014.1080396752322,11786.568730198062,96924.39,12069.762853001817,-2.3463105800237316,2025-02
2025-02-14,10772.460690522828,1021.7910354063781,11794.251725929207,97658.7,12069.762853001817,-2.2826556778958507,2025-02
2025-02-14,10772.460690522828,1030.8654892441616,11803.32617976699,98526.0,12069.762853001817,-2.2074723130832994,2025-02
2025-02-14,10772.460690522828,1027.3796769063363,11799.840367429164,98192.84,12069.762853001817,-2.236352850176523,2025-02
2025-02-14,10772.460690522828,1024.7389512011382,11797.199641723966,97940.45,12069.762853001817,-2.2582317034511017,2025-02
2025-02-14,10772.460690522828,1016.950803549008,11789.411494071835,97196.09,12069.762853001817,-2.3227578067969823,2025-02
2025-02-14,10772.460690522828,1019.6784757679751,11792.139166290803,97456.79,12069.762853001817,-2.30015858714215,2025-02
2025-02-14,10772.460690522828,1016.3073365698501,11788.76802709268,97134.59,12069.762853001817,-2.32808903813096,2025-02
2025-02-14,10772.460690522828,1020.13559889512,11792.596289417948,97500.48,12069.762853001817,-2.296371245727799,2025-02
2025-02-15,10772.460690522828,1019.8258977149076,11792.286588237735,97470.88,12069.762853001817,-2.298937171703187,2025-02
2025-02-15,10772.460690522828,1023.3138026282749,11795.774493151102,97804.24,12069.762853001817,-2.270039297272295,2025-02
2025-02-15,10772.460690522828,1023.6779107725788,11796.138601295406,97839.04,12069.762853001817,-2.267022600517451,2025-02
2025-02-15,10772.460690522828,1021.7333849501966,11794.194075473026,97653.19,12069.762853001817,-2.2831333215487004,2025-02
2025-02-15,10772.460690522828,1020.4196660249435,11792.880356547772,97527.63,12069.762853001817,-2.294017702138888,2025-02
2025-02-15,10772.460690522828,1021.2937348288273,11793.754425351655,97611.17,12069.762853001817,-2.2867758961934963,2025-02
2025-02-15,10772.460690522828,1020.0114045367037,11792.472095059533,97488.61,12069.762853001817,-2.297400216718597,2025-02
2025-02-15,10772.460690522828,1018.5220138947016,11790.982704417529,97346.26,12069.762853001817,-2.309740066806318,2025-02
2025-02-15,10772.460690522828,1020.1882271700008,11792.64891769283,97505.51,12069.762853001817,-2.2959352116853537,2025-02
2025-02-15,10772.460690522828,1020.7850297145727,11793.2457202374,97562.55,12069.762853001817,-2.2909906029814433,2025-02
2025-02-15,10772.460690522828,1021.7413367372561,11794.202027260084,97653.95,12069.762853001817,-2.28306743966556,2025-02
2025-02-15,10772.460690522828,1021.3399807483049,11793.800671271134,97615.59,12069.762853001817,-2.2863927410309475,2025-02
2025-02-15,10772.460690522828,1022.7862643341425,11795.246954856972,97753.82,12069.762853001817,-2.274410040099273,2025-02
2025-02-15,10772.460690522828,1022.3998702603163,11794.860560783145,97716.89,12069.762853001817,-2.2776113795003234,2025-02
2025-02-15,10772.460690522828,1021.1100066962417,11793.570697219071,97593.61,12069.762853001817,-2.2882981144410457,2025-02
2025-02-15,10772.460690522828,1021.5244412823303,11793.985131805159,97633.22,12069.762853001817,-2.284864454715207,2025-02
2025-02-15,10772.460690522828,1020.5008579559722,11792.961548478801,97535.39,12069.762853001817,-2.2933450134372304,2025-02
2025-02-15,10772.460690522828,1019.1918473256884,11791.652537848517,97410.28,12069.762853001817,-2.3041903850176566,2025-02
2025-02-15,10772.460690522828,1020.5573574956055,11793.018048018434,97540.79,12069.762853001817,-2.292876905320106,2025-02
2025-02-15,10772.460690522828,1020.4643425127646,11792.925033035594,97531.9,12069.762853001817,-2.293647549979598,2025-02
2025-02-15,10772.460690522828,1020.5428140955887,11793.003504618417,97539.4,12069.762853001817,-2.2929973998169246,2025-02
2025-02-15,10772.460690522828,1022.0581526743115,11794.51884319714,97684.23,12069.762853001817,-2.2804425667420842,2025-02
2025-02-15,10772.460690522828,1020.6093579978236,11793.070048520653,97545.76,12069.762853001817,-2.2924460724789615,2025-02
2025-02-15,10772.460690522828,1020.85942077509,11793.320111297919,97569.66,12069.762853001817,-2.2903742606272157,2025-02
2025-02-16,10772.460690522828,1021.1200510588433,11793.58074158167,97594.57,12069.762853001817,-2.288214895220237,2025-02
2025-02-16,10772.460690522828,1021.626768226333,11794.087458749162,97643.0,12069.762853001817,-2.2840166589030675,2025-02
2025-02-16,10772.460690522828,1020.3907884824641,11792.851479005292,97524.87,12069.762853001817,-2.2942569573987583,2025-02
2025-02-16,10772.460690522828,1020.6241106553946,11793.084801178224,97547.17,12069.762853001817,-2.292323844248376,2025-02
2025-02-16,10772.460690522828,1020.4529379760609,11792.913628498889,97530.81,12069.762853001817,-2.293742038469914,2025-02
2025-02-16,10772.460690522828,1021.2113919812505,11793.67208250408,97603.3,12069.762853001817,-2.2874581204308644,2025-02
2025-02-16,10772.460690522828,1019.9972796517953,11792.457970174624,97487.26,12069.762853001817,-2.297517243747882,2025-02
2025-02-16,10772.460690522828,1017.5041851510839,11789.964875673912,97248.98,12069.762853001817,-2.3181729478497455,2025-02
2025-02-16,10772.460690522828,1016.6135850004185,11789.074275523248,97163.86,12069.762853001817,-2.325551718762733,2025-02
2025-02-16,10772.460690522828,1018.7258307524902,11791.186521275318,97365.74,12069.762853001817,-2.308051410117106,2025-02
2025-02-16,10772.460690522828,1016.7927094668116,11789.25339998964,97180.98,12069.762853001817,-2.3240676426580547,2025-02
2025-02-16,10772.460690522828,1018.4146647693981,11790.875355292226,97336.0,12069.762853001817,-2.310629472228862,2025-02
2025-02-16,10772.460690522828,1016.2135891855696,11788.674279708397,97125.63,12069.762853001817,-2.328865750858659,2025-02
2025-02-16,10772.460690522828,1013.2498744454674,11785.710564968296,96842.37,12069.762853001817,-2.3534206222028278,2025-02
2025-02-16,10772.460690522828,1014.5808571189419,11787.041547641771,96969.58,12069.762853001817,-2.3423932085768517,2025-02
2025-02-16,10772.460690522828,1013.968046371474,11786.428736894302,96911.01,12069.762853001817,-2.347470447913964,2025-02
2025-02-16,10772.460690522828,1015.4499037415251,11787.910594264353,97052.64,12069.762853001817,-2.33519301224188,2025-02
2025-02-16,10772.460690522828,1014.7207457939231,11787.181436316752,96982.95,12069.762853001817,-2.34123420755351,2025-02
2025-02-16,10772.460690522828,1013.5660626098602,11786.026753132688,96872.59,12069.762853001817,-2.3508009504806675,2025-02
2025-02-16,10772.460690522828,1015.5109023185737,11787.971592841403,97058.47,12069.762853001817,-2.3346876288487457,2025-02
2025-02-16,10772.460690522828,1013.9526659412404,11786.413356464069,96909.54,12069.762853001817,-2.34759787734585,2025-02
2025-02-16,10772.460690522828,1016.6264543400016,11789.08714486283,97165.09,12069.762853001817,-2.325445094136064,2025-02
2025-02-16,10772.460690522828,1013.4949150414329,11785.95560556426,96865.79,12069.762853001817,-2.3513904199615014,2025-02
2025-02-16,10772.460690522828,1005.672135264083,11778.132825786912,96118.12,12069.762853001817,-2.416203456245833,2025-02
2025-02-17,10772.460690522828,1007.776219971541,11780.23691049437,96319.22,12069.762853001817,-2.3987707632171134,2025-02
2025-02-17,10772.460690522828,1009.7579936385704,11782.218684161398,96508.63,12069.762853001817,-2.382351437575305,2025-02
2025-02-17,10772.460690522828,1006.8320498870008,11779.29274040983,96228.98,12069.762853001817,-2.4065933699745043,2025-02
2025-02-17,10772.460690522828,1006.6892316062609,11779.149922129089,96215.33,12069.762853001817,-2.4077766432705974,2025-02
2025-02-17,10772.460690522828,1004.7083995982254,11777.169090121053,96026.01,12069.762853001817,-2.4241881671104624,2025-02
2025-02-17,10772.460690522828,1006.9751820540722,11779.4358725769,96242.66,12069.762853001817,-2.4054074960777845,2025-02
2025-02-17,10772.460690522828,1008.3783585837449,11780.839049106573,96376.77,12069.762853001817,-2.3937819443021406,2025-02
2025-02-17,10772.460690522828,1005.1500376663597,11777.610728189187,96068.22,12069.762853001817,-2.420529121994888,2025-02
2025-02-17,10772.460690522828,1005.9432284255461,11778.403918948374,96144.03,12069.762853001817,-2.4139574041504965,2025-02
2025-02-17,10772.460690522828,1006.1758181970368,11778.636508719865,96166.26,12069.762853001817,-2.412030359068306,2025-02
2025-02-17,10772.460690522828,1005.5471038754498,11778.007794398278,96106.17,12069.762853001817,-2.4172393621717134,2025-02
2025-02-17,10772.460690522828,1005.0973047627018,11777.55799528553,96063.18,12069.762853001817,-2.4209660229042096,2025-02
2025-02-17,10772.460690522828,1009.2257470494684,11781.686437572296,96457.76,12069.762853001817,-2.3867611894120597,2025-02
2025-02-17,10772.460690522828,1008.7464426215786,11781.207133144408,96411.95,12069.762853001817,-2.390732306605712,2025-02
2025-02-17,10772.460690522828,1012.8064576881226,11785.26714821095,96799.99,12069.762853001817,-2.3570944040554274,2025-02
2025-02-17,10772.460690522828,1000.873231773667,11773.333922296495,95659.46,12069.762853001817,-2.4559631727279445,2025-02
2025-02-17,10772.460690522828,997.4758307524901,11769.936521275318,95334.75,12069.762853001817,-2.4841112073045464,2025-02
2025-02-17,10772.460690522828,998.9932619067548,11771.453952429583,95479.78,12069.762853001817,-2.471539036892038,2025-02
2025-02-17,10772.460690522828,997.5394450489663,11770.000135571794,95340.83,12069.762853001817,-2.483584152239334,2025-02
2025-02-17,10772.460690522828,999.5329371390307,11771.99362766186,95531.36,12069.762853001817,-2.4670677375065524,2025-02
2025-02-17,10772.460690522828,1004.1366033313802,11776.597293854209,95971.36,12069.762853001817,-2.4289255946291965,2025-02
2025-02-17,10772.460690522828,1008.7190298819787,11781.179720404807,96409.33,12069.762853001817,-2.390959425729214,2025-02
2025-02-17,10772.460690522828,1003.1334226165563,11775.594113139385,95875.48,12069.762853001817,-2.43723711430893,2025-02
2025-02-17,10772.460690522828,1002.1344270528166,11774.595117575645,95780.0,12069.762853001817,-2.4455139593133106,2025-02
2025-02-18,10772.460690522828,1000.647966016573,11773.108656539402,95637.93,12069.762853001817,-2.457829537128281,2025-02
2025-02-18,10772.460690522828,1007.2218967104712,11779.6825872333,96266.24,12069.762853001817,-2.4033634239663084,2025-02
2025-02-18,10772.460690522828,1005.1108018749477,11777.571492397776,96064.47,12069.762853001817,-2.4208541970762254,2025-02
2025-02-18,10772.460690522828,1006.5288356909684,11778.989526213796,96200.0,12069.762853001817,-2.4091055502031202,2025-02
2025-02-18,10772.460690522828,1005.1771365196283,11777.637827042458,96070.81,12069.762853001817,-2.4203046034720286,2025-02
2025-02-18,10772.460690522828,1000.3504017745041,11772.811092297332,95609.49,12069.762853001817,-2.460294906545176,2025-02
2025-02-18,10772.460690522828,997.9780488825646,11770.438739405394,95382.75,12069.762853001817,-2.479950246263372,2025-02
2025-02-18,10772.460690522828,998.7541851510839,11771.214875673912,95456.93,12069.762853001817,-2.473519827721016,2025-02
2025-02-18,10772.460690522828,996.4728592952205,11768.933549818048,95238.89,12069.762853001817,-2.4924209932505126,2025-02
