signal,trend,composite,tech_score,emotion_score,rsi,macd,bb_position,fear_greed,price_change_24h_pct,close,timestamp
NEUTRAL,bullish,50,68,18,68.35662562620617,239.86821038887138,1.1333090457667117,77,2.1214619032620563,68574.0,2024-10-28 09:00:00
SELL,bullish,45,65,8,72.31135584109786,266.8171821389551,1.0558087565471033,87,2.2923175530646267,68625.87,2024-10-28 10:00:00
NEUTRAL,bullish,48,65,18,71.7258403970288,295.0940439700644,1.0412991095193354,77,2.421849349392602,68753.78,2024-10-28 11:00:00
SELL,bullish,45,65,8,71.12016249381742,326.18863322270045,1.0353371837563299,87,2.237403560830842,68908.01,2024-10-28 12:00:00
SELL,bullish,45,65,8,71.6715803646995,339.8117030562571,0.9168881368215303,87,1.780628845243748,68819.99,2024-10-28 13:00:00
SELL,bullish,43,63,8,78.82600690577655,348.2087896431767,0.8838379963757399,87,1.6899228447652348,68840.0,2024-10-28 14:00:00
SELL,bullish,45,66,8,69.15352024724191,323.2343271156278,0.663057130208971,87,1.035830339248034,68494.2,2024-10-28 15:00:00
SELL,bullish,43,63,8,71.54648793765094,317.1404396411526,0.7623700521276249,87,1.299271687208825,68709.27,2024-10-28 16:00:00
SELL,bullish,43,63,8,77.3240716978857,330.6676737891685,0.8747613060930481,87,1.8068261813437791,68984.0,2024-10-28 17:00:00
SELL,bullish,43,63,8,79.23370151877081,355.6952484203648,0.9335995430789583,87,2.445411486086435,69212.12,2024-10-28 18:00:00
SELL,bullish,43,63,8,81.13008133019876,404.58380121209484,1.0333889334656159,86,2.623404568901977,69629.98,2024-10-28 19:00:00
SELL,bullish,43,63,8,80.88992665193855,439.43923372741847,0.9643742688418666,86,2.7781791006494583,69644.56,2024-10-28 20:00:00
NEUTRAL,bullish,47,63,18,78.44063254701521,473.421589872145,0.958791605320521,77,2.7395697424452026,69791.0,2024-10-28 21:00:00
SELL,bullish,43,63,8,82.65614942684962,508.2639305568009,0.9597909238023145,87,2.697507486348405,69961.65,2024-10-28 22:00:00
SELL,bullish,43,63,8,80.76911142136557,529.8145515427022,0.9133682722625819,87,2.8527808037729363,69962.21,2024-10-28 23:00:00
SELL,bullish,45,66,8,80.26808022449822,540.5550716707803,0.8778417156976049,87,3.0960400625347217,69960.88,2024-10-29 00:00:00
SELL,bullish,45,66,8,82.07119607757633,570.7061336324259,0.9556373839762737,87,3.776558853192147,70310.58,2024-10-29 01:00:00
SELL,bullish,45,66,8,86.19596870892094,657.9821379199566,1.1342435158507087,85,4.993894902055174,71190.05,2024-10-29 02:00:00
SELL,bullish,45,66,8,81.93611420193554,698.767017200269,0.9730686283826258,85,4.740387189327122,70938.14,2024-10-29 03:00:00
SELL,bullish,45,66,8,82.61682080267309,734.7132671526488,0.9523535054268634,85,4.935796064878684,71088.01,2024-10-29 04:00:00
SELL,bullish,45,66,8,90.43105666210568,750.6728274611814,0.8880970155037782,86,4.609257714455262,71039.99,2024-10-29 05:00:00
SELL,bullish,45,66,8,90.41092402198612,771.2513681306882,0.8945098353977128,86,4.840113509365551,71248.45,2024-10-29 06:00:00
SELL,bullish,45,66,8,82.83297551207757,760.1990980782575,0.8002853816225093,85,3.8038883574954774,71017.97,2024-10-29 07:00:00
SELL,bullish,45,66,8,82.18847245061266,752.133426691551,0.798488119294387,85,4.106676618662908,71134.01,2024-10-29 08:00:00
SELL,bullish,45,66,8,80.55738376255533,750.5974912553356,0.8098921511338184,86,3.9773383498118875,71301.42,2024-10-29 09:00:00
SELL,bullish,45,66,8,76.78112852748828,730.4619578935817,0.7510864028863345,86,3.709169734387352,71171.32,2024-10-29 10:00:00
