timestamp,type,price,size,sl,tp,atr,info,trend_1h,trend_d,rsi,capital,pnl,reason,hold_h,capital_after
2025-02-28 02:00:00,OPEN_LONG,80805.5,0.127966223151789,79459.70142857142,84842.89571428571,1345.798571428572,"score=7,d=neutral,1h=bearish,RSI=20.3",bearish,neutral,20.323328116050448,11481.117353919193,,,,
2025-02-28 03:00:00,OPEN_LONG,80452.44,0.12601162699646765,79085.76642857143,84552.46071428571,1366.673571428572,"score=7,d=neutral,1h=bearish,RSI=20.0",bearish,neutral,20.02211909385501,11481.117353919193,,,,
2025-02-28 06:00:00,CLOSE_LONG,79344.56,0.127966223151789,,,,,,,,,-195.14849337766827,STOP_LOSS,4.0,11285.968860541525
2025-02-28 06:00:00,OPEN_LONG,79344.56,0.12342472775377851,77972.95857142856,83459.36428571428,1371.6014285714296,"score=7,d=neutral,1h=bearish,RSI=17.3",bearish,neutral,17.32842921721175,11285.968860541525,,,,
2025-02-28 08:00:00,CLOSE_LONG,78975.99,0.12601162699646765,,,,,,,,,-194.08580102044834,STOP_LOSS,5.0,11091.883059521077
2025-02-28 08:00:00,OPEN_LONG,78975.99,0.11264045956214723,77498.91642857144,83407.21071428573,1477.0735714285724,"score=7,d=neutral,1h=bearish,RSI=14.8",bearish,neutral,14.805517272231015,11091.883059521077,,,,
2025-02-28 15:00:00,CLOSE_LONG,84005.05,0.12342472775377851,,,,,,,,,567.1551569920375,TAKE_PROFIT,9.0,11659.038216513114
2025-02-28 15:00:00,CLOSE_LONG,84005.05,0.11264045956214723,,,,,,,,,559.1323258674056,TAKE_PROFIT,7.0,12218.17054238052
2025-03-03 18:00:00,OPEN_LONG,87132.8,0.1188381103059817,85590.59642857143,91759.41071428571,1542.2035714285707,"score=7,d=neutral,1h=neutral,RSI=30.1",neutral,neutral,30.072602295964728,12218.17054238052,,,,
2025-03-03 19:00:00,OPEN_LONG,85606.0,0.11045976749692116,83946.82071428571,90583.53785714286,1659.1792857142852,"score=8,d=neutral,1h=neutral,RSI=24.9",neutral,neutral,24.93200086561795,12218.17054238052,,,,
2025-03-03 21:00:00,CLOSE_LONG,85374.33,0.1188381103059817,,,,,,,,,-217.17342036716036,STOP_LOSS,3.0,12000.99712201336
2025-03-03 21:00:00,OPEN_LONG,85374.33,0.1119144527559441,83765.825,90199.845,1608.5049999999994,"score=8,d=neutral,1h=neutral,RSI=25.4",neutral,neutral,25.36583371457283,12000.99712201336,,,,
2025-03-04 01:00:00,CLOSE_LONG,83380.55,0.11045976749692116,,,,,,,,,-253.28917558526337,STOP_LOSS,6.0,11747.707946428096
2025-03-04 01:00:00,CLOSE_LONG,83380.55,0.1119144527559441,,,,,,,,,-230.68724163378283,STOP_LOSS,4.0,11517.020704794313
2025-03-04 01:00:00,OPEN_LONG,83380.55,0.09353321334456915,81533.55571428571,88921.53285714287,1846.9942857142867,"score=7,d=neutral,1h=bearish,RSI=21.8",bearish,neutral,21.78280625928383,11517.020704794313,,,,
2025-03-04 02:00:00,OPEN_LONG,83936.41,0.0888714190441282,81992.53071428572,89768.04785714287,1943.8792857142867,"score=7,d=neutral,1h=bearish,RSI=23.0",bearish,neutral,23.02898864603756,11517.020704794313,,,,
2025-03-05 10:00:00,CLOSE_LONG,89926.07,0.09353321334456915,,,,,,,,,605.7395485861507,TAKE_PROFIT,33.0,12122.760253380464
2025-03-05 10:00:00,CLOSE_LONG,89926.07,0.0888714190441282,,,,,,,,,526.1290216654015,TAKE_PROFIT,32.0,12648.889275045865
