signal,composite,technical_score,ai_score,price_score,rsi,macd,fear_greed,price_change_24h_pct,close,timestamp
SELL,32,51,20,20,17.77216829086322,-545.0830743423576,83,-4.682685072884762,61402.28,2024-06-24 09:00:00
SELL,32,51,20,20,18.53140181703418,-627.7215369820042,83,-4.88052362469209,61167.15,2024-06-24 10:00:00
SELL,32,51,20,20,18.93080046347218,-675.3576938993137,83,-4.739557470339884,61291.95,2024-06-24 11:00:00
SELL,32,51,20,20,19.45135036441566,-711.104794687526,83,-4.909874007374482,61215.21,2024-06-24 12:00:00
SELL,30,47,20,20,28.986550347190928,-702.7695056220182,83,-4.243676182338463,61569.2,2024-06-24 13:00:00
SELL,30,47,20,20,28.012336725272604,-709.4328602787136,73,-4.499936985927066,61303.41,2024-06-24 14:00:00
SELL,29,51,12,20,21.009053806820717,-743.2176212173872,73,-5.070693044590757,60843.99,2024-06-24 15:00:00
SELL,29,51,12,20,19.8853103569231,-815.1417772665809,82,-5.880850319635567,60168.01,2024-06-24 16:00:00
SELL,29,51,12,20,21.31789657341615,-856.0703693020841,82,-6.044099232708966,60244.89,2024-06-24 17:00:00
SELL,29,51,12,20,24.205880603861957,-865.0496323577972,82,-5.771105493856221,60412.01,2024-06-24 18:00:00
SELL,29,51,12,20,21.5579124177887,-950.3978340982285,81,-7.549612796801486,59306.72,2024-06-24 19:00:00
SELL,29,51,12,20,23.246245590396313,-989.9001820817721,81,-6.630074265755526,59514.0,2024-06-24 20:00:00
SELL,27,47,12,20,30.3871604540372,-961.2871478001398,80,-5.83514645780141,60119.24,2024-06-24 21:00:00
SELL,27,47,12,20,26.689160999624463,-933.5194753823453,71,-5.6693747320642585,60048.98,2024-06-24 22:00:00
SELL,29,43,20,20,38.12207598581049,-881.6358633697382,72,-4.614316624851034,60293.3,2024-06-24 23:00:00
SELL,29,43,20,20,41.66791238359869,-821.7007728941098,72,-4.234131261889662,60409.11,2024-06-25 00:00:00
SELL,29,43,20,20,41.12549117929624,-758.7666618617004,72,-4.460152956622798,60492.0,2024-06-25 01:00:00
SELL,29,43,20,20,44.15726830621463,-686.1335359888762,72,-3.5065156468716885,60676.01,2024-06-25 02:00:00
SELL,27,39,20,20,47.27218035265925,-571.42446545048,72,-2.4806878559384127,61302.59,2024-06-25 03:00:00
SELL,31,48,20,20,50.7234911807853,-469.5619803796435,72,-2.338760843443388,61371.27,2024-06-25 04:00:00
SELL,31,48,20,20,51.96631422579524,-412.1057088240923,72,-2.070160466322102,61024.01,2024-06-25 05:00:00
SELL,29,44,20,20,62.0935060538474,-353.16731135095324,73,-2.027609967150068,61139.67,2024-06-25 06:00:00
SELL,29,44,20,20,55.00886252505747,-339.22301348623296,72,-2.8353400794159045,60685.16,2024-06-25 07:00:00
SELL,29,44,20,20,55.088978479359525,-310.4752813872474,72,-2.9822613792368946,60860.12,2024-06-25 08:00:00
NEUTRAL,41,37,37,60,77.67088737245084,-235.92130004031787,74,0.10704814218625014,61468.01,2024-06-25 09:00:00
NEUTRAL,43,41,37,60,73.42442405772037,-186.85431978229462,74,0.24526236713660055,61317.17,2024-06-25 10:00:00
SELL,35,41,27,40,65.83659433179191,-156.61501251710433,74,-0.170185481127616,61187.64,2024-06-25 11:00:00
SELL,36,44,27,40,64.51931541194696,-142.23715055699722,74,-0.27231794189711556,61048.51,2024-06-25 12:00:00
SELL,36,44,27,40,63.535906653449786,-117.26683533973846,74,-0.5996504745879427,61200.0,2024-06-25 13:00:00
NEUTRAL,43,41,37,60,67.83482184009472,-51.42004324257141,74,0.7504150258525577,61763.44,2024-06-25 14:00:00
NEUTRAL,49,57,37,60,67.52407898865599,4.46949521809438,74,1.5876835164820857,61810.0,2024-06-25 15:00:00
BUY,60,67,45,80,58.93277151121481,14.703184949736169,74,2.0309795853311385,61390.01,2024-06-25 16:00:00
NEUTRAL,55,71,37,60,51.16693453623056,21.869828643197252,74,1.8865500459873008,61381.44,2024-06-25 17:00:00
BUY,60,67,45,80,59.63698904948776,89.27024944413279,73,2.891941519575325,62159.09,2024-06-25 18:00:00
BUY,60,67,45,80,62.12393440116216,126.41097514920693,73,4.4998947842672665,61975.46,2024-06-25 19:00:00
BUY,60,67,45,80,60.160792198236216,149.96497990218631,73,4.049484154988736,61924.01,2024-06-25 20:00:00
